09:42.52;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:43.38;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:43.40;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/login;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:44.16;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:44.17;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:44.20;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:44.20;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:44.34;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/compra-1-click;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.20;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/ordine-confermato;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.22;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/i-tuoi-ordini;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.39;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.41;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/3/Stampa-Blocchi-Appunti-Notes;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.42;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/scegli-formato/3/5/Stampa-Blocchi-Appunti-Notes;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.44;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/3/134/Stampa-Blocchi-Appunti-Notes-A4;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.45;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/3/134/38/2/50/Stampa-Block-Notes-incollati-A4;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:45.54;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.07;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-file;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.18;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-consegna;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.46;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-pagamento;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.03;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-riepilogo;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.22;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.23;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.25;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.25;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.42;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/compra-1-click;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:49.16;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:49.32;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:49.41;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:49.48;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/11/Stampa-Blocchi-e-Biglietti-Numerati;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:49.49;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/11/1147/5/2/20/Stampa-Blocchi-Numerati-10-x-7;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:50.23;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:50.36;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-file;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:50.45;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-consegna;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:50.55;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-pagamento;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:51.11;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/carrello-riepilogo;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:51.22;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:51.45;::1;v23eabb2kkuuqtm5oqwvnnhk;517(1511);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
