09:42.44;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:42.55;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/login;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:42.57;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.41;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.43;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:46.43;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:47.41;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
09:54.46;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
10:05.19;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
10:43.15;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:14.14;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:18.56;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/24/1138/Stampa-Astucci-Automontanti-inserisci-le-misure;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:18.57;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/24/1138/168/2/1/Stampa-Astucci-255gr-CKB-NUDE-4-0-a-colori-solo-Fronte;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:19.29;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/17/Stampa-Banner-Striscioni-Pubblicitari;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:19.30;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/17/50/81/2/1/Stampa-Banner-Striscione-monofacciale-520gr;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:19.39;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/39/Stampa-Emergenza-Covid19;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:19.42;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/33/1149/Ricamo-Cappelli-a-misura;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:19.44;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/33/1149/132/17/1/Ricamo-Cappello-Golf-Italy;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:20.05;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/30/Stampa-Etichette-adesive-a-colori;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:20.08;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/30/124/Stampa-Etichette-adesive-a-colori-A10;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:20.09;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/30/124/119/2/1/Stampa-Etichette-Carta-Adesiva-Patinata-Lucida-a-Colori-3-x-2;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:34.39;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/30/124/119/2/1/Stampa-Etichette-Carta-Adesiva-Patinata-Lucida-a-Colori-3-x-2;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:49.04;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
