11:26.43;::1;v23eabb2kkuuqtm5oqwvnnhk;1684(2687);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:26.47;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:26.50;::1;v23eabb2kkuuqtm5oqwvnnhk;0(0);/login;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:28.02;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:28.15;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:28.16;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:28.16;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:29.59;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:30.15;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:30.27;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:30.57;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.24;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.26;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.26;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.37;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.41;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/carrello;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.47;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:31.48;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:32.01;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:32.01;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:32.07;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/compra-1-click;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:38.36;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:38.38;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:38.56;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/scegli-formato/2/2/Stampa-Biglietti-da-Visita;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:38.56;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:40.07;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:40.42;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
11:40.48;::1;v23eabb2kkuuqtm5oqwvnnhk;149(1138);/2/131/72/1/1/Stampa-Biglietti-da-Visita-85-x-55-350gr-UV;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0;
